id_pedido,fecha,cliente,pais,producto,cantidad,precio_unitario,total
A0103,2025-01-27,María Pilar Duque,Ecuador,Audífonos,4,50,200
A0104,2025-01-12,Germán Hilario Ayuso Rocamora,Ecuador,Tablet,2,250,500
A0105,2025-01-04,Asdrubal Estévez Barbero,Chile,Impresora,1,300,300
A0106,2025-01-23,Mateo Oliveras Abellán,Colombia,Monitor,5,200,1000
A0107,2025-01-18,Aurelio de Higueras,Argentina,Teclado,3,35,105
A0108,2025-01-24,Nadia Echeverría-Real,Argentina,Silla ergonómica,4,150,600
A0109,2025-01-19,Beatriz Mínguez,Colombia,Monitor,3,200,600
A0110,2025-01-27,Paola Batalla Ojeda,Colombia,Webcam,3,70,210
A0111,2025-01-11,Jorge Salvador Calatayud,Chile,Mouse,1,20,20
A0112,2025-01-10,Borja Serrano-Casado,Ecuador,Webcam,3,70,210
A0113,2025-01-27,Jose Angel Boix Merino,Perú,Webcam,5,70,350
A0114,2025-01-20,Toribio Cordero Salazar,Colombia,Router,3,100,300
A0115,2025-01-17,Aroa Dalmau Hoz,Ecuador,Mouse,1,20,20
A0116,2025-01-09,Humberto Marcial Planas Riera,Ecuador,Webcam,5,70,350
A0117,2025-01-03,Carmela de Vazquez,Perú,Mouse,2,20,40
A0118,2025-01-27,Margarita Cabo,Chile,Monitor,3,200,600
A0119,2025-01-27,Cloe Romero Naranjo,Chile,Tablet,1,250,250
A0120,2025-01-01,Juan Luis Exposito Maza,Colombia,Teclado,2,35,70
A0121,2025-01-11,Sol Iñiguez,Colombia,Teclado,2,35,70
A0122,2025-01-27,Olimpia Díaz Fuente,Perú,Router,4,100,400
A0123,2025-01-12,Tania Pereira Torres,Chile,Mouse,5,20,100
A0124,2025-01-16,Manolo Cuesta Campos,Colombia,Tablet,3,250,750
A0125,2025-01-12,Kike Gálvez-Rueda,Ecuador,Laptop,1,950,950
A0126,2025-01-24,Carmina Sanabria,Argentina,Laptop,4,950,3800
A0127,2025-01-21,Mario de Calatayud,Ecuador,Monitor,5,200,1000
A0128,2025-01-04,Felix Chaparro Mateos,Chile,Webcam,4,70,280
A0129,2025-01-10,Eutropio de Jara,Colombia,Router,5,100,500
A0130,2025-01-14,Felix Álvaro Larrea,Chile,Webcam,5,70,350
A0131,2025-01-21,Esther Maestre Pi,Ecuador,Teclado,3,35,105
A0132,2025-01-04,Eladio Villalobos Rico,Colombia,Laptop,5,950,4750
A0133,2025-01-15,Felicia Mendez,Colombia,Impresora,4,300,1200
A0134,2025-01-27,Pánfilo Marin Lopez,Colombia,Impresora,5,300,1500
A0135,2025-01-17,Amado Nogués Mateo,Colombia,Tablet,3,250,750
A0136,2025-01-04,Cecilia Barberá Mulet,Colombia,Teclado,3,35,105
A0137,2025-01-23,Lucio Solé Silva,Chile,Impresora,4,300,1200
A0138,2025-01-17,Roque Viñas Manjón,Chile,Laptop,2,950,1900
A0139,2025-01-19,Domingo de Piñeiro,Argentina,Tablet,2,250,500
A0140,2025-01-17,Dorotea Mayo Azorin,Ecuador,Audífonos,5,50,250
A0141,2025-01-09,Eleuterio Naranjo-Rocha,Ecuador,Laptop,1,950,950
A0142,2025-01-02,Felisa Marí López,Argentina,Router,5,100,500
A0143,2025-01-19,Dorotea Robledo Catalán,Argentina,Tablet,4,250,1000
A0144,2025-01-16,Rocío Sarabia Ortega,Chile,Laptop,4,950,3800
A0145,2025-01-15,Cándido del Vall,Argentina,Mouse,4,20,80
A0146,2025-01-16,Hugo de Company,Chile,Mouse,4,20,80
A0147,2025-01-15,Maxi Almansa Vendrell,Argentina,Mouse,4,20,80
A0148,2025-01-02,Sergio Maxi Agudo Casado,Chile,Webcam,3,70,210
A0149,2025-01-13,Jeremías Morcillo Mancebo,Ecuador,Silla ergonómica,2,150,300
A0150,2025-01-09,Jordán Nicanor Caballero Amigó,Chile,Silla ergonómica,4,150,600
A0151,2025-01-27,Gonzalo Alcalá,Argentina,Laptop,1,950,950
A0152,2025-01-15,Paulino Acosta Donaire,Argentina,Mouse,1,20,20
A0153,2025-01-20,Begoña de Garcia,Colombia,Silla ergonómica,1,150,150
A0154,2025-01-19,Lola Blázquez Amador,Argentina,Tablet,1,250,250
A0155,2025-01-04,Nacho del Boix,Perú,Impresora,3,300,900
A0156,2025-01-02,Hortensia Pozo Durán,Chile,Audífonos,1,50,50
A0157,2025-01-14,Purificación Fabiola Osorio Camino,Chile,Impresora,4,300,1200
A0158,2025-01-06,Gisela Leticia Serrano Salazar,Colombia,Teclado,5,35,175
A0159,2025-01-18,Victorino Bermejo-Fonseca,Perú,Router,1,100,100
A0160,2025-01-26,Federico Rodrigo-Torralba,Perú,Mouse,3,20,60
A0161,2025-01-08,Emelina Arnaiz,Ecuador,Router,3,100,300
A0162,2025-01-02,Horacio Isern Santiago,Argentina,Silla ergonómica,1,150,150
A0163,2025-01-13,Anunciación Agustí Durán,Ecuador,Mouse,5,20,100
A0164,2025-01-14,Lucía Osuna Gibert,Argentina,Monitor,1,200,200
A0165,2025-01-08,Dalila Sarmiento Julián,Argentina,Impresora,3,300,900
A0166,2025-01-27,Cruz Esteve-Soler,Chile,Audífonos,2,50,100
A0167,2025-01-10,Olivia Font,Ecuador,Monitor,4,200,800
A0168,2025-01-23,Florentina Hidalgo Almeida,Perú,Impresora,3,300,900
A0169,2025-01-12,Quique Peña Lago,Chile,Router,1,100,100
A0170,2025-01-13,Teodora Alberola Arenas,Argentina,Impresora,4,300,1200
A0171,2025-01-18,Josep Vallés Cuadrado,Argentina,Tablet,1,250,250
A0172,2025-01-23,José del Garay,Ecuador,Tablet,1,250,250
A0173,2025-01-10,Baudelio Carballo Tapia,Perú,Mouse,2,20,40
A0174,2025-01-10,Maricela Gimeno Casals,Chile,Impresora,4,300,1200
A0175,2025-01-21,Gerónimo Fernando Madrigal Verdejo,Ecuador,Mouse,4,20,80
A0176,2025-01-23,Brunilda del Anglada,Argentina,Teclado,2,35,70
A0177,2025-01-14,Graciano Lozano Sabater,Perú,Impresora,3,300,900
A0178,2025-01-03,Máximo Sebastián Valcárcel,Argentina,Monitor,1,200,200
A0179,2025-01-22,Alejandro Hervás Farré,Perú,Monitor,5,200,1000
A0180,2025-01-21,Francisco Javier Martorell Borrego,Perú,Tablet,1,250,250
A0181,2025-01-23,Reyna Rivera Barco,Colombia,Impresora,1,300,300
A0182,2025-01-06,Amada Ramón-Solís,Ecuador,Mouse,3,20,60
A0183,2025-01-20,Corona Múñiz Soria,Colombia,Impresora,1,300,300
A0184,2025-01-22,Raimundo Caro Vera,Ecuador,Laptop,2,950,1900
A0185,2025-01-18,Benito Mascaró Hernando,Perú,Teclado,2,35,70
A0186,2025-01-19,Wálter Aramburu-Pulido,Perú,Teclado,4,35,140
A0187,2025-01-11,Eva Miranda Sanmartín,Colombia,Tablet,5,250,1250
A0188,2025-01-27,Dominga Marti Bonilla,Colombia,Tablet,1,250,250
A0189,2025-01-09,Vanesa Noriega Escalona,Ecuador,Mouse,1,20,20
A0190,2025-01-13,Bernardo de Tamayo,Ecuador,Teclado,3,35,105
A0191,2025-01-03,Reina Canales Martínez,Argentina,Laptop,2,950,1900
A0192,2025-01-03,Ignacio del Franco,Perú,Silla ergonómica,5,150,750
A0193,2025-01-25,Iván Mena Burgos,Argentina,Teclado,4,35,140
A0194,2025-01-01,Leandro Heredia Álvaro,Colombia,Teclado,2,35,70
A0195,2025-01-08,Heliodoro Campo Téllez,Ecuador,Impresora,4,300,1200
A0196,2025-01-23,Luciana Perez Cid,Perú,Laptop,3,950,2850
A0197,2025-01-02,Reyes Cabo Malo,Perú,Monitor,3,200,600
A0198,2025-01-23,Mireia Cañas,Chile,Mouse,1,20,20
A0199,2025-01-25,Nidia Tejada Téllez,Perú,Tablet,5,250,1250
A0200,2025-01-04,Gloria Gutierrez Capdevila,Colombia,Silla ergonómica,4,150,600
A0201,2025-01-23,Rosalina Moliner Villaverde,Chile,Monitor,2,200,400
A0202,2025-01-14,Sebastián Montaña Gómez,Chile,Teclado,3,35,105
A0203,2025-01-09,Prudencia del Pomares,Colombia,Laptop,1,950,950
A0204,2025-01-09,Diana Pujadas,Chile,Audífonos,1,50,50
A0205,2025-01-15,Leire Vicens Jaume,Colombia,Monitor,4,200,800
A0206,2025-01-14,Nacho Villa Estrada,Perú,Teclado,3,35,105
A0207,2025-01-05,Sebastián Sans Bartolomé,Ecuador,Webcam,5,70,350
A0208,2025-01-12,Amador Cortes,Ecuador,Router,3,100,300
A0209,2025-01-24,Tomasa Gaya Roca,Chile,Monitor,4,200,800
A0210,2025-01-14,Jordi Vila Gras,Colombia,Audífonos,4,50,200
A0211,2025-01-12,Paz Salamanca Ferrández,Perú,Monitor,3,200,600
A0212,2025-01-19,Leoncio Solé,Chile,Laptop,4,950,3800
A0213,2025-01-20,Cristóbal Plaza Borrego,Chile,Webcam,3,70,210
A0214,2025-01-23,Bernabé Cepeda Corral,Perú,Impresora,2,300,600
A0215,2025-01-15,Adoración de Vergara,Ecuador,Impresora,3,300,900
A0216,2025-01-10,Gregorio Nicolás Azorin Mínguez,Perú,Tablet,3,250,750
A0217,2025-01-21,Aura Querol Coronado,Colombia,Tablet,4,250,1000
A0218,2025-01-05,Felicia Baena Moraleda,Perú,Laptop,4,950,3800
A0219,2025-01-18,Amparo del Morales,Ecuador,Impresora,1,300,300
A0220,2025-01-23,Dimas Tormo Campillo,Chile,Silla ergonómica,1,150,150
A0221,2025-01-22,Catalina Cañizares Reyes,Perú,Laptop,2,950,1900
A0222,2025-01-10,Rufino Morell Perelló,Ecuador,Silla ergonómica,1,150,150
A0223,2025-01-27,Basilio Chico Boix,Colombia,Audífonos,3,50,150
A0224,2025-01-11,Chus Cardona Coronado,Perú,Webcam,4,70,280
A0225,2025-01-11,Anita Guillen Giralt,Argentina,Tablet,1,250,250
A0226,2025-01-20,Rosaura Paz Serna Morales,Ecuador,Webcam,1,70,70
A0227,2025-01-08,Jimena Giralt Niño,Argentina,Monitor,2,200,400
A0228,2025-01-23,Felicia Cuadrado,Perú,Laptop,2,950,1900
A0229,2025-01-03,Ciríaco Gallardo-Dávila,Colombia,Laptop,3,950,2850
A0230,2025-01-12,Carla Bustos Toledo,Argentina,Tablet,4,250,1000
A0231,2025-01-09,Andrés Felipe Sola España,Chile,Audífonos,2,50,100
A0232,2025-01-16,María Luisa Ledesma Osorio,Colombia,Mouse,1,20,20
A0233,2025-01-11,Irma Torre Rozas,Perú,Silla ergonómica,4,150,600
A0234,2025-01-21,Bienvenida Asenjo Morillo,Perú,Mouse,4,20,80
A0235,2025-01-25,Aitor Valero Pardo Gual,Perú,Tablet,1,250,250
A0236,2025-01-02,Vito Dueñas Díez,Perú,Webcam,2,70,140
A0237,2025-01-18,Juan Francisco Manzanares Zamorano,Perú,Webcam,1,70,70
A0238,2025-01-27,Reina Martina Heras Nogués,Perú,Tablet,4,250,1000
A0239,2025-01-12,Pancho Casal Pol,Chile,Monitor,5,200,1000
A0240,2025-01-24,Sabas Sala-Ribes,Colombia,Webcam,5,70,350
A0241,2025-01-08,Vanesa Águila Vicente,Chile,Silla ergonómica,3,150,450
A0242,2025-01-04,Emiliano Huerta Simó,Argentina,Impresora,1,300,300
A0243,2025-01-25,Arsenio Vicens Robles,Colombia,Tablet,1,250,250
A0244,2025-01-13,Aureliano Abascal,Ecuador,Impresora,3,300,900
A0245,2025-01-24,Lucía Pazos Folch,Perú,Monitor,3,200,600
A0246,2025-01-18,Pepito Seco Pelayo,Colombia,Silla ergonómica,3,150,450
A0247,2025-01-08,Domingo Batlle Viña,Argentina,Audífonos,4,50,200
A0248,2025-01-15,Jovita Reina Oliva Feliu,Colombia,Router,1,100,100
A0249,2025-01-18,Eustaquio Belmonte,Colombia,Monitor,4,200,800
A0250,2025-01-20,Azeneth Salom Segarra,Argentina,Router,3,100,300
A0251,2025-01-11,Adelaida Anna Pozuelo Cerdá,Chile,Mouse,1,20,20
A0252,2025-01-14,Gabriela Pineda Villaverde,Perú,Tablet,4,250,1000
A0253,2025-01-03,Sofía Montenegro Domingo,Argentina,Audífonos,4,50,200
A0254,2025-01-10,Encarnación Vergara-Mena,Ecuador,Monitor,3,200,600
A0255,2025-01-18,Mateo Acero-Alcántara,Perú,Monitor,1,200,200
A0256,2025-01-24,Dafne Angulo Lobato,Chile,Teclado,3,35,105
A0257,2025-01-01,Flavia Navarro Villanueva,Ecuador,Laptop,1,950,950
A0258,2025-01-04,Paz Boada,Chile,Router,5,100,500
A0259,2025-01-25,Eligia Cuadrado Núñez,Argentina,Mouse,2,20,40
A0260,2025-01-20,Virginia del Guerra,Colombia,Webcam,2,70,140
A0261,2025-01-02,Lilia Antón Castelló,Argentina,Monitor,2,200,400
A0262,2025-01-24,Ani Castilla Valderrama,Colombia,Router,3,100,300
A0263,2025-01-09,Carmelita Carlota Múñiz Rivero,Colombia,Monitor,5,200,1000
A0264,2025-01-11,Juan Francisco del Tena,Chile,Laptop,1,950,950
A0265,2025-01-15,Marcia Benitez,Ecuador,Webcam,4,70,280
A0266,2025-01-01,Beatriz Aparicio,Chile,Teclado,1,35,35
A0267,2025-01-04,Eligia Pina Alvarado,Argentina,Router,4,100,400
A0268,2025-01-13,Anna Pinto Garcia,Ecuador,Tablet,1,250,250
A0269,2025-01-10,Belen de Soler,Chile,Mouse,5,20,100
A0270,2025-01-20,Tecla Prat Luján,Colombia,Teclado,4,35,140
A0271,2025-01-14,Rolando Inocencio Navas Colomer,Colombia,Tablet,3,250,750
A0272,2025-01-24,Zoraida Amaya Morante Blasco,Argentina,Silla ergonómica,1,150,150
A0273,2025-01-07,Hilario Cerezo Villalba,Perú,Router,1,100,100
A0274,2025-01-10,Carlito Olivera Sala,Argentina,Tablet,4,250,1000
A0275,2025-01-23,Gloria Peral Cuadrado,Colombia,Tablet,3,250,750
A0276,2025-01-14,Imelda Navarro Guerrero,Colombia,Teclado,3,35,105
A0277,2025-01-06,Espiridión Villanueva Almazán,Colombia,Router,5,100,500
A0278,2025-01-16,Édgar Falcón,Perú,Monitor,3,200,600
A0279,2025-01-01,Lalo Royo Pina,Perú,Tablet,3,250,750
A0280,2025-01-18,Manola Vigil Tomás,Colombia,Monitor,3,200,600
A0281,2025-01-01,Bernardita Nuñez Rosselló,Perú,Router,2,100,200
A0282,2025-01-02,Paula del Morante,Ecuador,Impresora,5,300,1500
A0283,2025-01-14,Reynaldo Baró,Chile,Impresora,1,300,300
A0284,2025-01-10,Felisa del Angulo,Perú,Audífonos,4,50,200
A0285,2025-01-14,Amanda Corral-Lucas,Argentina,Mouse,1,20,20
A0286,2025-01-05,Íngrid Velasco-Posada,Chile,Teclado,5,35,175
A0287,2025-01-26,Noemí Lumbreras-Carpio,Chile,Webcam,4,70,280
A0288,2025-01-22,Dorita Carro Sandoval,Chile,Monitor,5,200,1000
A0289,2025-01-01,Gilberto Laguna Sancho,Ecuador,Webcam,3,70,210
A0290,2025-01-16,Pili Campoy Doménech,Colombia,Audífonos,4,50,200
A0291,2025-01-22,Maricruz Cabrera Asenjo,Argentina,Router,3,100,300
A0292,2025-01-14,Fanny Barroso,Colombia,Laptop,1,950,950
A0293,2025-01-13,Edelmira Prieto Morell,Chile,Webcam,1,70,70
A0294,2025-01-18,Lucía Rivera Duarte,Colombia,Silla ergonómica,4,150,600
A0295,2025-01-14,Adán Sastre Romero,Ecuador,Silla ergonómica,4,150,600
A0296,2025-01-24,Rodrigo Saavedra Mateo,Colombia,Router,5,100,500
A0297,2025-01-09,Ulises Casal Caro,Ecuador,Audífonos,5,50,250
A0298,2025-01-16,Manuel Bárcena Ramos,Perú,Webcam,3,70,210
A0299,2025-01-05,Román Nicolau Barberá,Colombia,Tablet,4,250,1000
A0300,2025-01-23,Asunción Millán-Ortega,Argentina,Silla ergonómica,1,150,150
A0301,2025-01-11,Rodolfo Ayala Sureda,Chile,Router,5,100,500
A0302,2025-01-10,Natalia Lupe Quintanilla Solsona,Chile,Impresora,5,300,1500
A0303,2025-01-21,Samu Carrasco Torrecilla,Colombia,Router,1,100,100
A0304,2025-01-03,Piedad Ortiz Palma,Ecuador,Webcam,5,70,350
A0305,2025-01-20,Itziar Nadal,Perú,Webcam,3,70,210
A0306,2025-01-07,Espiridión Juan José Corominas Carnero,Chile,Router,4,100,400
A0307,2025-01-16,Fidel Vilalta Taboada,Chile,Silla ergonómica,1,150,150
A0308,2025-01-13,Benjamín Dalmau-Ruano,Argentina,Laptop,4,950,3800
A0309,2025-01-18,Alexandra Girón-Cervera,Colombia,Silla ergonómica,5,150,750
A0310,2025-01-01,Rosa María Ureña-Piña,Argentina,Laptop,5,950,4750
A0311,2025-01-05,Ascensión Cobos Galván,Ecuador,Webcam,1,70,70
A0312,2025-01-18,Jerónimo Carro Uribe,Chile,Router,3,100,300
A0313,2025-01-17,Aroa Badía Serna,Chile,Laptop,2,950,1900
A0314,2025-01-12,Herberto Cal Barón,Perú,Webcam,1,70,70
A0315,2025-01-22,Leonel Hernando Torralba,Perú,Monitor,2,200,400
A0316,2025-01-01,Dan Sanjuan Torrijos,Colombia,Audífonos,2,50,100
A0317,2025-01-17,Celestina Lorenzo-Linares,Perú,Webcam,3,70,210
A0318,2025-01-08,Laura Pinedo Galán,Perú,Webcam,2,70,140
A0319,2025-01-18,Carina Mariscal Lago,Perú,Mouse,2,20,40
A0320,2025-01-17,Juanito Garay Páez,Colombia,Laptop,3,950,2850
A0321,2025-01-13,Baltasar Cárdenas Pons,Argentina,Laptop,2,950,1900
A0322,2025-01-15,Amaya Aramburu-Julián,Perú,Monitor,2,200,400
A0323,2025-01-25,Raúl Solsona Montaña,Ecuador,Laptop,2,950,1900
A0324,2025-01-23,Duilio Sáenz Yuste,Ecuador,Monitor,1,200,200
A0325,2025-01-01,Albino Kike Rovira Collado,Chile,Laptop,1,950,950
A0326,2025-01-15,Gastón Salamanca Blanco,Argentina,Teclado,1,35,35
A0327,2025-01-27,Carolina de Vilanova,Chile,Teclado,3,35,105
A0328,2025-01-09,Eli Ayala Alba,Colombia,Mouse,5,20,100
A0329,2025-01-20,Teófilo Hilario Arias Tena,Argentina,Monitor,2,200,400
A0330,2025-01-13,Chuy Espejo,Colombia,Impresora,2,300,600
A0331,2025-01-07,Inés Íngrid Olmo Marqués,Perú,Teclado,3,35,105
A0332,2025-01-12,Flora Ferrer Arce,Argentina,Silla ergonómica,2,150,300
A0333,2025-01-10,Haydée Camacho Rocha,Ecuador,Teclado,1,35,35
A0334,2025-01-09,Tito Bernat Fajardo,Perú,Mouse,5,20,100
A0335,2025-01-15,Encarnita Piquer,Argentina,Laptop,4,950,3800
A0336,2025-01-03,Saturnino Jiménez Planas,Perú,Silla ergonómica,2,150,300
A0337,2025-01-11,Sigfrido Tamarit Alcalá,Colombia,Webcam,1,70,70
A0338,2025-01-19,Jessica Felipa Santamaría Porta,Chile,Mouse,4,20,80
A0339,2025-01-06,Leandra de Barros,Argentina,Monitor,5,200,1000
A0340,2025-01-20,Aurelia del Barón,Ecuador,Impresora,4,300,1200
A0341,2025-01-20,Rafaela del Lloret,Argentina,Mouse,1,20,20
A0342,2025-01-09,Lalo Bartolomé Prada Cárdenas,Argentina,Laptop,4,950,3800
A0343,2025-01-24,Abilio Belmonte Villegas,Perú,Tablet,3,250,750
A0344,2025-01-26,Serafina Amaya Borrell Baena,Colombia,Audífonos,4,50,200
A0345,2025-01-10,Noé Delgado Comas,Ecuador,Tablet,2,250,500
A0346,2025-01-17,Teófila Salgado Rosales,Perú,Laptop,2,950,1900
